Month,Year,U.S. Regular All Formulations Retail Gasoline Prices Dollars per Gallon
9,2022,3.7
8,2022,3.975
7,2022,4.559
6,2022,4.929
5,2022,4.444
4,2022,4.109
3,2022,4.222
2,2022,3.517
1,2022,3.315
12,2021,3.307
11,2021,3.395
10,2021,3.291
9,2021,3.175
8,2021,3.158
7,2021,3.136
6,2021,3.064
5,2021,2.985
4,2021,2.858
3,2021,2.81
2,2021,2.501
1,2021,2.334
12,2020,2.195
11,2020,2.108
10,2020,2.158
9,2020,2.183
8,2020,2.182
7,2020,2.183
6,2020,2.082
5,2020,1.87
4,2020,1.841
3,2020,2.234
2,2020,2.442
1,2020,2.548
12,2019,2.555
11,2019,2.598
10,2019,2.627
9,2019,2.592
8,2019,2.621
7,2019,2.74
6,2019,2.716
5,2019,2.859
4,2019,2.798
3,2019,2.516
2,2019,2.309
1,2019,2.248
12,2018,2.366
11,2018,2.647
10,2018,2.86
9,2018,2.836
8,2018,2.836
7,2018,2.849
6,2018,2.891
5,2018,2.901
4,2018,2.757
3,2018,2.591
2,2018,2.587
1,2018,2.555
12,2017,2.477
11,2017,2.564
10,2017,2.505
9,2017,2.645
8,2017,2.38
7,2017,2.3
6,2017,2.347
5,2017,2.391
4,2017,2.417
3,2017,2.325
2,2017,2.304
1,2017,2.349
12,2016,2.254
11,2016,2.182
10,2016,2.249
9,2016,2.219
8,2016,2.178
7,2016,2.239
6,2016,2.366
5,2016,2.268
4,2016,2.113
3,2016,1.969
2,2016,1.764
1,2016,1.949
12,2015,2.038
11,2015,2.158
10,2015,2.29
9,2015,2.365
8,2015,2.636
7,2015,2.794
6,2015,2.802
5,2015,2.718
4,2015,2.469
3,2015,2.464
2,2015,2.216
1,2015,2.116
12,2014,2.543
11,2014,2.912
10,2014,3.171
9,2014,3.406
8,2014,3.487
7,2014,3.611
6,2014,3.692
5,2014,3.673
4,2014,3.661
3,2014,3.533
2,2014,3.356
1,2014,3.313
12,2013,3.276
11,2013,3.243
10,2013,3.344
9,2013,3.532
8,2013,3.574
7,2013,3.591
6,2013,3.626
5,2013,3.615
4,2013,3.57
3,2013,3.711
2,2013,3.67
1,2013,3.319
12,2012,3.31
11,2012,3.452
10,2012,3.746
9,2012,3.849
8,2012,3.722
7,2012,3.439
6,2012,3.539
5,2012,3.732
4,2012,3.9
3,2012,3.852
2,2012,3.579
1,2012,3.38
12,2011,3.266
11,2011,3.384
10,2011,3.448
9,2011,3.611
8,2011,3.639
7,2011,3.65
6,2011,3.68
5,2011,3.906
4,2011,3.8
3,2011,3.561
2,2011,3.211
1,2011,3.095
12,2010,2.993
11,2010,2.859
10,2010,2.801
9,2010,2.705
8,2010,2.73
7,2010,2.729
6,2010,2.732
5,2010,2.836
4,2010,2.848
3,2010,2.772
2,2010,2.644
1,2010,2.715
12,2009,2.607
11,2009,2.651
10,2009,2.551
9,2009,2.554
8,2009,2.616
7,2009,2.527
6,2009,2.631
5,2009,2.266
4,2009,2.049
3,2009,1.959
2,2009,1.923
1,2009,1.788
12,2008,1.687
11,2008,2.147
10,2008,3.051
9,2008,3.703
8,2008,3.779
7,2008,4.062
6,2008,4.054
5,2008,3.766
4,2008,3.458
3,2008,3.244
2,2008,3.028
1,2008,3.043
12,2007,3.018
11,2007,3.08
10,2007,2.803
9,2007,2.803
8,2007,2.786
7,2007,2.965
6,2007,3.056
5,2007,3.146
4,2007,2.845
3,2007,2.563
2,2007,2.278
1,2007,2.24
12,2006,2.313
11,2006,2.229
10,2006,2.245
9,2006,2.555
8,2006,2.952
7,2006,2.981
6,2006,2.885
5,2006,2.907
4,2006,2.742
3,2006,2.425
2,2006,2.28
1,2006,2.316
12,2005,2.185
11,2005,2.257
10,2005,2.717
9,2005,2.903
8,2005,2.486
7,2005,2.29
6,2005,2.156
5,2005,2.161
4,2005,2.243
3,2005,2.079
2,2005,1.91
1,2005,1.831
12,2004,1.841
11,2004,1.979
10,2004,2
9,2004,1.87
8,2004,1.878
7,2004,1.911
6,2004,1.969
5,2004,1.983
4,2004,1.798
3,2004,1.736
2,2004,1.648
1,2004,1.572
12,2003,1.479
11,2003,1.512
10,2003,1.564
9,2003,1.679
8,2003,1.62
7,2003,1.513
6,2003,1.493
5,2003,1.497
4,2003,1.589
3,2003,1.693
2,2003,1.613
1,2003,1.458
12,2002,1.386
11,2002,1.419
10,2002,1.445
9,2002,1.4
8,2002,1.396
7,2002,1.397
6,2002,1.382
5,2002,1.392
4,2002,1.397
3,2002,1.249
2,2002,1.114
1,2002,1.107
12,2001,1.086
11,2001,1.171
10,2001,1.315
9,2001,1.522
8,2001,1.421
7,2001,1.421
6,2001,1.616
5,2001,1.702
4,2001,1.552
3,2001,1.409
2,2001,1.45
1,2001,1.447
12,2000,1.443
11,2000,1.517
10,2000,1.532
9,2000,1.55
8,2000,1.465
7,2000,1.551
6,2000,1.633
5,2000,1.487
4,2000,1.465
3,2000,1.516
2,2000,1.377
1,2000,1.289
12,1999,1.273
11,1999,1.251
10,1999,1.244
9,1999,1.256
8,1999,1.221
7,1999,1.158
6,1999,1.114
5,1999,1.131
4,1999,1.131
3,1999,0.982
2,1999,0.921
1,1999,0.939
12,1998,0.945
11,1998,0.995
10,1998,1.019
9,1998,1.009
8,1998,1.026
7,1998,1.055
6,1998,1.064
5,1998,1.064
4,1998,1.03
3,1998,1.017
2,1998,1.049
1,1998,1.086
12,1997,1.131
11,1997,1.171
10,1997,1.197
9,1997,1.231
8,1997,1.224
7,1997,1.174
6,1997,1.198
5,1997,1.2
4,1997,1.199
3,1997,1.205
2,1997,1.23
1,1997,1.236
12,1996,1.235
11,1996,1.232
10,1996,1.204
9,1996,1.202
8,1996,1.207
7,1996,1.227
6,1996,1.256
5,1996,1.279
4,1996,1.231
3,1996,1.137
2,1996,1.089
1,1996,1.09
12,1995,1.071
11,1995,1.062
10,1995,1.087
9,1995,1.111
8,1995,1.123
7,1995,1.154
6,1995,1.192
5,1995,1.178
4,1995,1.111
3,1995,1.072
2,1995,1.073
1,1995,1.082
12,1994,1.091
11,1994,1.116
10,1994,1.114
9,1994,1.144
8,1994,1.155
7,1994,1.106
6,1994,1.078
5,1994,1.047
4,1994,1.027
3,1994,1.008
2,1994,1.009
1,1994,0.998
12,1993,1.014
11,1993,1.066
10,1993,1.092
9,1993,1.05
8,1993,1.062
7,1993,1.078
6,1993,1.097
5,1993,1.1
4,1993,1.078
3,1993,1.052
2,1993,1.054
1,1993,1.062
12,1992,1.078
11,1992,1.111
10,1992,1.114
9,1992,1.122
8,1992,1.122
7,1992,1.137
6,1992,1.145
5,1992,1.107
4,1992,1.052
3,1992,1.013
2,1992,1.006
1,1992,1.022
