CASENUM,VEH_NO,PER_NO,STRATUM,STRATUMNAME,REGION,REGIONNAME,PSU,PJ,PSU_VAR,URBANICITY,URBANICITYNAME,NMCC,NMCCNAME,PSUSTRAT,WEIGHT
202002125952,0,1,2,Stratum 2 - Not a MV Occupant Any Injury,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",28,4139,28,1,Urban Area,2,Failure to Yield Right-Of-Way,11,24.989368981
202002125952,0,1,2,Stratum 2 - Not a MV Occupant Any Injury,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",28,4139,28,1,Urban Area,3,"Failure to Obey Traffic Signs, Signals or Officer",11,24.989368981
202002126041,0,1,10,Stratum 10 - Other,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",12,4142,12,1,Urban Area,2,Failure to Yield Right-Of-Way,12,219.08543952
202002126041,0,1,10,Stratum 10 - Other,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",12,4142,12,1,Urban Area,11,"Dash - Run, No Visual Obstruction Noted",12,219.08543952
202002126582,0,1,2,Stratum 2 - Not a MV Occupant Any Injury,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",48,87,48,1,Urban Area,0,None Noted,12,25.240388944
202002126631,0,1,2,Stratum 2 - Not a MV Occupant Any Injury,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",48,87,48,1,Urban Area,3,"Failure to Obey Traffic Signs, Signals or Officer",12,25.240388944
202002126631,0,1,2,Stratum 2 - Not a MV Occupant Any Injury,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",48,87,48,1,Urban Area,11,"Dash - Run, No Visual Obstruction Noted",12,25.240388944
202002126631,0,2,2,Stratum 2 - Not a MV Occupant Any Injury,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",48,87,48,1,Urban Area,3,"Failure to Obey Traffic Signs, Signals or Officer",12,25.240388944
202002126631,0,2,2,Stratum 2 - Not a MV Occupant Any Injury,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",48,87,48,1,Urban Area,11,"Dash - Run, No Visual Obstruction Noted",12,25.240388944
202002128534,0,1,2,Stratum 2 - Not a MV Occupant Any Injury,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",83,4148,83,1,Urban Area,6,"Inattentive (Talking, Eating, Etc.)",13,25.035771389
202002128534,0,1,2,Stratum 2 - Not a MV Occupant Any Injury,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",83,4148,83,1,Urban Area,11,"Dash - Run, No Visual Obstruction Noted",13,25.035771389
202002128591,0,1,2,Stratum 2 - Not a MV Occupant Any Injury,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",83,4148,83,1,Urban Area,15,Improper or Erratic Lane Changing,13,25.035771389
202002130231,0,1,2,Stratum 2 - Not a MV Occupant Any Injury,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",12,4142,12,1,Urban Area,2,Failure to Yield Right-Of-Way,12,25.050735442
202002130231,0,1,2,Stratum 2 - Not a MV Occupant Any Injury,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",12,4142,12,1,Urban Area,11,"Dash - Run, No Visual Obstruction Noted",12,25.050735442
202002133232,0,1,2,Stratum 2 - Not a MV Occupant Any Injury,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",28,4139,28,1,Urban Area,0,None Noted,11,24.989368981
202002133574,0,1,2,Stratum 2 - Not a MV Occupant Any Injury,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",40,4147,40,1,Urban Area,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)",15,24.329250784
202002133640,0,1,2,Stratum 2 - Not a MV Occupant Any Injury,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",51,1117,51,1,Urban Area,2,Failure to Yield Right-Of-Way,10,24.952325628
202002133640,0,1,2,Stratum 2 - Not a MV Occupant Any Injury,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",51,1117,51,1,Urban Area,6,"Inattentive (Talking, Eating, Etc.)",10,24.952325628
202002133640,0,1,2,Stratum 2 - Not a MV Occupant Any Injury,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",51,1117,51,1,Urban Area,12,Improper Crossing of Roadway or Intersection (Jaywalking),10,24.952325628
202002134016,0,1,2,Stratum 2 - Not a MV Occupant Any Injury,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",65,4138,65,1,Urban Area,3,"Failure to Obey Traffic Signs, Signals or Officer",13,24.749133125
202002134016,0,1,2,Stratum 2 - Not a MV Occupant Any Injury,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",65,4138,65,1,Urban Area,12,Improper Crossing of Roadway or Intersection (Jaywalking),13,24.749133125
202002135843,0,1,2,Stratum 2 - Not a MV Occupant Any Injury,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",59,4137,59,1,Urban Area,0,None Noted,10,25.31921207
202002136398,0,1,2,Stratum 2 - Not a MV Occupant Any Injury,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",75,4144,75,2,Rural Area,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)",19,24.121321676
202002136419,0,1,2,Stratum 2 - Not a MV Occupant Any Injury,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",78,4146,78,1,Urban Area,0,None Noted,10,25.164513736
202002136570,0,1,2,Stratum 2 - Not a MV Occupant Any Injury,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",40,4147,40,1,Urban Area,0,None Noted,15,25.061069742
202002136595,0,1,2,Stratum 2 - Not a MV Occupant Any Injury,2,"Midwest (OH, IN, IL, MI, WI, MN, ND, SD, NE, IA, MO, KS)",77,4151,77,2,Rural Area,0,None Noted,9,30.148877335
202002137023,0,1,2,Stratum 2 - Not a MV Occupant Any Injury,4,"West (MT, ID, WA, OR, CA, NV, NM, AZ, UT, CO, WY, AK, HI)",20,4140,20,2,Rural Area,2,Failure to Yield Right-Of-Way,25,26.256964058
202002137023,0,1,2,Stratum 2 - Not a MV Occupant Any Injury,4,"West (MT, ID, WA, OR, CA, NV, NM, AZ, UT, CO, WY, AK, HI)",20,4140,20,2,Rural Area,12,Improper Crossing of Roadway or Intersection (Jaywalking),25,26.256964058
202002137023,0,1,2,Stratum 2 - Not a MV Occupant Any Injury,4,"West (MT, ID, WA, OR, CA, NV, NM, AZ, UT, CO, WY, AK, HI)",20,4140,20,2,Rural Area,19,"Not Visible (Dark clothing, No Lighting, etc.)",25,26.256964058
202002137113,0,1,2,Stratum 2 - Not a MV Occupant Any Injury,2,"Midwest (OH, IN, IL, MI, WI, MN, ND, SD, NE, IA, MO, KS)",58,4143,58,1,Urban Area,0,None Noted,6,24.332265755
202002139259,0,1,2,Stratum 2 - Not a MV Occupant Any Injury,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",65,4138,65,1,Urban Area,11,"Dash - Run, No Visual Obstruction Noted",13,24.749133125
202002139382,0,1,2,Stratum 2 - Not a MV Occupant Any Injury,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",28,4139,28,1,Urban Area,0,None Noted,11,24.989368981
202002139541,0,1,2,Stratum 2 - Not a MV Occupant Any Injury,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",28,4139,28,1,Urban Area,2,Failure to Yield Right-Of-Way,11,24.989368981
